Player,Pos,Tm,Total,avg,gtd,gtd_avg,gtd_pct,OTC_IDs
Clay Matthews,34OLB,Rams,"$9,250,000","$4,625,000","$5,500,000","$2,750,000",59.50%,clay-matthews/1096/
Roquan Smith,ILB,Bears,"$18,477,166","$4,619,292","$18,477,166","$4,619,292",100.00%,roquan-smith/6893/
Mike McGlinchey,RT,49ers,"$18,341,876","$4,585,469","$18,341,876","$4,585,469",100.00%,mike-mcglinchey/6894/
DeForest Buckner,43DT,49ers,"$18,190,990","$4,547,748","$18,190,990","$4,547,748",100.00%,deforest-buckner/4720/
D.J. Swearinger,S,Cardinals,"$13,500,000","$4,500,000","$6,000,000","$2,000,000",44.40%,d-j-swearinger/2266/
Jimmie Ward,CB,49ers,"$4,500,000","$4,500,000","$3,000,000","$3,000,000",66.70%,jimmie-ward/2969/
Jordan Phillips,43DT,Bills,"$4,500,000","$4,500,000","$2,000,000","$2,000,000",44.40%,jordan-phillips/3900/
Margus Hunt,43DE,Colts,"$9,000,000","$4,500,000","$4,500,000","$2,250,000",50.00%,margus-hunt/2262/
Donte Moncrief,WR,Steelers,"$9,000,000","$4,500,000","$3,500,000","$1,750,000",38.90%,donte-moncrief/3029/
J.R. Sweezy,RG,Cardinals,"$9,000,000","$4,500,000","$3,000,000","$1,500,000",33.30%,j-r-sweezy/1544/
