PLAYERID,40,20,10,BENCH,VERTICAL,BROAD,SHUTTLE,CONE,ARMLENGTH,HANDSIZE
707,,,,,,,,,,
708,,,,,,,,,,8.25
709,,,,,,,,,,
710,,,,,,,,,,8.25
711,,,,,,,,,,9.25
712,,,,,,,,,,9.5
713,,,,,,,,,,8
714,,,,,,,,,,
715,,,,,,,,,,
716,,,,,,,,,,
717,,,,,,,,,,10
718,,,,,,,,,,10
719,,,,,,,,,,
720,,,,,,,,,,
721,,,,,,,,,,8.5
722,,,,,,,,,,8.75
723,,,,,,,,,,8.75
724,,,,,,,,,,9.25
725,,,,,,,,,,8.25
726,,,,,,,,,,8.75
727,,,,,,,,,,
728,,,,,,,,,,9
729,,,,,,,,,,9.5
730,,,,,,,,,,9.25
731,,,,,,,,,,10
732,,,,,,,,,,11
733,,,,,,,,,,
734,,,,,,,,,,9.5
735,,,,,,,,,,8.75
736,,,,,,,,,,10.25
737,,,,,,,,,,10
738,,,,,,,,,,9
739,,,,,,,,,,10.25
740,,,,,,,,,,9
741,,,,,,,,,,9.5
742,,,,,,,,,,10.25
743,,,,,,,,,,9.5
744,,,,,,,,,,9
745,,,,,,,,,,
746,,,,,,,,,,
747,,,,,,,,,,
748,,,,,,,,,,
749,,,,,,,,,,9.25
750,,,,,,,,,,10.75
751,,,,,,,,,,
752,,,,,,,,,,9.75
753,,,,,,,,,,9.75
754,,,,,,,,,,
755,,,,,,,,,,
756,,,,,,,,,,10.25
757,,,,,,,,,,8.5
758,,,,,,,,,,
759,,,,,,,,,,9.25
760,,,,,,,,,,9.5
761,,,,,,,,,,9.75
762,,,,,,,,,,
763,,,,,,,,,,10.25
764,,,,,,,,,,
765,,,,,,,,,,
766,,,,,,,,,,10.25
767,,,,,,,,,,9.75
768,,,,,,,,,,
769,,,,,,,,,,10.25
770,,,,,,,,,,9.75
771,,,,,,,,,,
772,,,,,,,,,,10
773,,,,,,,,,,
774,,,,,,,,,,
775,,,,,,,,,,8.25
776,,,,,,,,,,
777,,,,,,,,,,10
778,,,,,,,,,,8.75
779,,,,,,,,,,
780,,,,,,,,,,9
781,,,,,,,,,,
782,,,,,,,,,,9.5
783,,,,,,,,,,9.25
784,,,,,,,,,,10.25
785,,,,,,,,,,
786,,,,,,,,,,9.5
787,,,,,,,,,,10
788,,,,,,,,,,9.25
789,,,,,,,,,,10.25
790,,,,,,,,,,9.25
791,,,,,,,,,,10
792,,,,,,,,,,10.5
793,,,,,,,,,,10
794,,,,,,,,,,9.5
795,,,,,,,,,,9.25
796,,,,,,,,,,
797,,,,,,,,,,9.75
798,,,,,,,,,,
799,,,,,,,,,,10.5
800,,,,,,,,,,9.75
801,,,,,,,,,,
802,,,,,,,,,,8.25
803,,,,,,,,,,9
804,,,,,,,,,,9
805,,,,,,,,,,10
806,,,,,,,,,,
807,,,,,,,,,,9.5
808,,,,,,,,,,
809,,,,,,,,,,8.5
810,,,,,,,,,,9
811,,,,,,,,,,
812,,,,,,,,,,9.5
813,,,,,,,,,,8.75
814,,,,,,,,,,8.5
815,,,,,,,,,,11
816,,,,,,,,,,
817,,,,,,,,,,8.75
818,,,,,,,,,,8
819,,,,,,,,,,
820,,,,,,,,,,8.75
821,,,,,,,,,,
822,,,,,,,,,,8.5
823,,,,,,,,,,9.25
824,,,,,,,,,,9.5
825,,,,,,,,,,9.5
826,,,,,,,,,,
827,,,,,,,,,,
828,,,,,,,,,,
829,,,,,,,,,,
830,,,,,,,,,,
831,,,,,,,,,,
832,,,,,,,,,,
833,,,,,,,,,,
834,,,,,,,,,,
835,,,,,,,,,,
836,,,,,,,,,,
837,,,,,,,,,,
838,,,,,,,,,,
839,,,,,,,,,,
840,,,,,,,,,,
841,,,,,,,,,,
842,,,,,,,,,,
843,,,,,,,,,,
844,,,,,,,,,,
845,,,,,,,,,,
846,,,,,,,,,,
847,,,,,,,,,,
848,,,,,,,,,,
849,,,,,,,,,,
850,,,,,,,,,,
851,,,,,,,,,,
852,,,,,,,,,,
853,,,,,,,,,,
854,,,,,,,,,,
855,,,,,,,,,,
856,,,,,,,,,,
857,,,,,,,,,,
858,,,,,,,,,,
859,,,,,,,,,,
860,,,,,,,,,,
861,,,,,,,,,,
862,,,,,,,,,,
863,,,,,,,,,,
864,,,,,,,,,,
865,,,,,,,,,,
866,,,,,,,,,,
867,,,,,,,,,,
868,,,,,,,,,,
869,,,,,,,,,,
870,,,,,,,,,,
871,,,,,,,,,,
872,,,,,,,,,,
873,,,,,,,,,,
874,,,,,,,,,,
875,,,,,,,,,,
876,,,,,,,,,,
877,,,,,,,,,,
878,,,,,,,,,,
879,,,,,,,,,,
880,,,,,,,,,,
881,,,,,,,,,,
882,,,,,,,,,,
883,,,,,,,,,,
884,,,,,,,,,,
885,,,,,,,,,,
886,,,,,,,,,,
887,,,,,,,,,,
888,,,,,,,,,,
889,,,,,,,,,,
890,,,,,,,,,,
891,,,,,,,,,,
892,,,,,,,,,,
893,,,,,,,,,,
894,,,,,,,,,,
895,,,,,,,,,,
896,,,,,,,,,,
897,,,,,,,,,,
898,,,,,,,,,,
899,,,,,,,,,,
900,,,,,,,,,,
901,,,,,,,,,,
902,,,,,,,,,,
903,,,,,,,,,,
