Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
335,,Kerrith WhyteK. Whyte PIT,RB99,,257,364,338.3,8.5
336,,Trayveon WilliamsT. Williams CIN,RB100,,322,359,336.1,7.6
337,,Tyler EifertT. Eifert CIN,TE36,,255,322,298.9,11.2
338,,Darren FellsD. Fells HOU,TE37,,236,350,292.3,43.2
339,,Jason WittenJ. Witten DAL,TE38,,167,341,294.2,30.0
Tier 15,
340,,New York (NYG)NYG DST,DST29,,303,335,324.9,5.7
341,,Damiere ByrdD. Byrd ARI,WR111,,223,339,306.3,24.4
342,,Josh OliverJ. Oliver JAC,TE39,,246,344,311.7,29.2
343,,Rashard HigginsR. Higgins CLE,WR112,,265,361,312.2,34.5
344,,Allen HurnsA. Hurns MIA,WR113,,270,338,298.8,22.7
345,,Tajae SharpeT. Sharpe TEN,WR114,,247,364,300.8,42.4
346,,Trey QuinnT. Quinn WAS,WR115,,247,396,319.0,47.7
347,,Taysom HillT. Hill NO,QB36,,175,361,305.4,66.5
348,,Ryan SuccopR. Succop TEN,K29,,300,316,306.0,6.0
349,,Arizona (ARI)ARI DST,DST30,,308,345,331.4,11.2
350,,Jordan ReedJ. Reed WAS,TE40,,260,314,291.5,19.9
351,,Joe BurrowJ. Burrow FA,QB37,,162,241,201.5,39.5
352,,Riley RidleyR. Ridley CHI,WR116,,240,301,270.7,24.9
353,,Hayden HurstH. Hurst BAL,TE41,,267,356,321.6,20.5
354,,Jace SternbergerJ. Sternberger GB,TE42,,173,273,223.0,50.0
355,,Ryan GriffinR. Griffin NYJ,TE43,,209,324,283.7,52.9
356,,Scott MillerS. Miller TB,WR117,,271,299,286.7,11.7
357,,Joe FlaccoJ. Flacco DEN,QB38,,274,353,331.6,12.2
358,,Kaden SmithK. Smith NYG,TE44,,255,348,295.0,39.1
