"","mfl_id","sleeper_id","pfr_id","gsis_id","pff_id","espn_id","yahoo_id","ras_id","otc_id"
"316","14909",NA,NA,"00-0036411",NA,NA,NA,NA,NA
"317","14910",NA,NA,"00-0036221",NA,NA,NA,NA,NA
"318","14911",NA,NA,"00-0036329",NA,NA,NA,NA,NA
"319","14912","7062",NA,"00-0035849",NA,"3915165","33211",NA,NA
"320","14918",NA,NA,"00-0036285",NA,NA,NA,NA,NA
"321","14919",NA,NA,"00-0036287",NA,NA,NA,NA,NA
"322","14920",NA,NA,"00-0036324",NA,NA,NA,NA,NA
"323","14921",NA,NA,"00-0036231",NA,NA,NA,NA,NA
"324","14922",NA,NA,"00-0036289",NA,NA,NA,NA,NA
"325","14924",NA,NA,"00-0036292",NA,NA,NA,NA,NA
"326","14925",NA,NA,"00-0036159",NA,NA,NA,NA,NA
"327","14926",NA,NA,"00-0036362",NA,NA,NA,NA,NA
"328","14927",NA,NA,"00-0036293",NA,NA,NA,NA,NA
"329","14928",NA,NA,"00-0036294",NA,NA,NA,NA,NA
"330","14929",NA,NA,"00-0036249",NA,NA,NA,NA,NA
"331","14930",NA,NA,"00-0036262",NA,NA,NA,NA,NA
"332","14931",NA,NA,"00-0036390",NA,NA,NA,NA,NA
"333","14932",NA,NA,"00-0036419",NA,NA,NA,NA,NA
"334","14933",NA,NA,"00-0036253",NA,NA,NA,NA,NA
"335","14934",NA,NA,"00-0036266",NA,NA,NA,NA,NA
"336","14935",NA,NA,"00-0036330",NA,NA,NA,NA,NA
"337","14936","6956","AsiaDe00","00-0036194","40294",NA,NA,"19113","8831"
"338","14937",NA,NA,"00-0036420",NA,NA,NA,NA,NA
"339","14939","7082","KeenDa00","00-0036225","61068",NA,NA,"20201","8841"
"340","14940",NA,NA,"00-0036333",NA,NA,NA,NA,NA
"341","14941",NA,NA,"00-0036393",NA,NA,NA,NA,NA
"342","14942",NA,NA,"00-0036421",NA,NA,NA,NA,NA
"343","14943",NA,NA,"00-0036298",NA,NA,NA,NA,NA
"344","14944",NA,NA,"00-0036394",NA,NA,NA,NA,NA
"345","14945",NA,NA,"00-0036299",NA,NA,NA,NA,NA
"346","14946",NA,NA,"00-0036371",NA,NA,NA,NA,NA
"347","14947",NA,NA,"00-0036335",NA,NA,NA,NA,NA
"348","14948",NA,NA,"00-0036300",NA,NA,NA,NA,NA
"349","14949",NA,NA,"00-0036372",NA,NA,NA,NA,NA
"350","14950",NA,NA,"00-0036395",NA,NA,NA,NA,NA
"351","14951",NA,NA,"00-0036337",NA,NA,NA,NA,NA
"352","14952",NA,NA,"00-0036373",NA,NA,NA,NA,NA
"353","14953",NA,NA,"00-0036338",NA,NA,NA,NA,NA
"354","14954",NA,NA,"00-0036302",NA,NA,NA,NA,NA
"355","14955",NA,NA,"00-0036303",NA,NA,NA,NA,NA
"356","14956",NA,NA,"00-0036374",NA,NA,NA,NA,NA
"357","14957",NA,NA,"00-0036375",NA,NA,NA,NA,NA
"358","14958",NA,NA,"00-0036235",NA,NA,NA,NA,NA
"359","14959",NA,NA,"00-0036304",NA,NA,NA,NA,NA
"360","14960",NA,NA,"00-0036426",NA,NA,NA,NA,NA
"361","14961",NA,NA,"00-0036283",NA,NA,NA,NA,NA
"362","14962",NA,NA,"00-0036305",NA,NA,NA,NA,NA
"363","14963",NA,NA,"00-0036306",NA,NA,NA,NA,NA
"364","14964",NA,NA,"00-0036241",NA,"4037584",NA,NA,NA
"365","14966",NA,NA,"00-0036343",NA,NA,NA,NA,NA
"366","14967",NA,NA,"00-0036307",NA,NA,NA,NA,NA
"367","14969","7086","HighJo00","00-0036398","84142",NA,NA,"17407","8908"
"368","14970",NA,NA,"00-0036344",NA,NA,NA,NA,NA
"369","14971",NA,NA,"00-0036081",NA,NA,NA,NA,NA
"370","14973","7107","HuntJa01","00-0036278","45693",NA,NA,"19039","8912"
"371","14974","7090","MoonDa00","00-0036309","48236",NA,NA,"17781","8913"
"372","14975",NA,NA,"00-0036237",NA,NA,NA,NA,NA
