Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
215,,Ted GinnT. Ginn NO,WR80,9,109,306,225.1,36.7,227.0,+12.0
216,,Dallas (DAL)DAL DST,DST12,8,159,250,211.6,14.0,180.0,-36.0
217,,Ka'imi FairbairnK. Fairbairn HOU,K6,10,151,302,215.4,23.9,175.0,-42.0
218,,Buffalo (BUF)BUF DST,DST13,6,164,307,210.1,20.2,219.0,+1.0
219,,Mason CrosbyM. Crosby GB,K7,11,187,255,219.7,8.9,213.0,-6.0
220,,Nelson AgholorN. Agholor PHI,WR81,10,131,297,221.0,28.7,231.0,+11.0
221,,John RossJ. Ross CIN,WR82,9,141,306,222.0,33.6,278.0,+57.0
222,,Antonio CallawayA. Callaway CLE,WR83,7,137,331,222.9,40.7,242.0,+20.0
223,,Philadelphia (PHI)PHI DST,DST14,10,140,303,223.3,20.2,173.0,-50.0
224,,Josh DoctsonJ. Doctson WAS,WR84,10,127,375,235.5,43.1,331.0,+107.0
225,,Joe FlaccoJ. Flacco DEN,QB29,10,158,340,242.5,38.2,239.0,+14.0
226,,Malcolm BrownM. Brown LAR,RB66,9,130,329,225.9,43.1,290.0,+64.0
227,,Jake ElliottJ. Elliott PHI,K8,10,189,253,224.2,8.5,207.0,-20.0
228,,Elijah McGuireE. McGuire NYJ,RB67,4,123,363,221.4,43.2,297.0,+69.0
229,,Seattle (SEA)SEA DST,DST15,11,176,318,224.7,18.9,222.0,-7.0
230,,Brett MaherB. Maher DAL,K9,8,190,253,229.2,12.3,194.0,-36.0
231,,T.J. YeldonT. Yeldon BUF,RB68,6,119,337,229.6,37.1,252.0,+21.0
232,,Matt PraterM. Prater DET,K10,5,192,308,230.6,16.7,215.0,-17.0
233,,Robbie GouldR. Gould SF,K11,4,192,287,233.5,15.2,163.0,-70.0
234,,Michael BadgleyM. Badgley LAC,K12,12,196,287,234.3,15.3,212.0,-22.0
235,,Pittsburgh (PIT)PIT DST,DST16,7,166,303,235.0,23.5,218.0,-17.0
236,,Cameron BrateC. Brate TB,TE27,7,153,344,239.2,37.9,293.0,+57.0
237,,Gus EdwardsG. Edwards BAL,RB69,8,115,327,229.9,43.7,258.0,+21.0
238,,Frank GoreF. Gore BUF,RB70,6,168,322,235.1,35.9,269.0,+31.0
239,,D.J. CharkD. Chark JAC,WR85,10,75,384,235.9,43.7,324.0,+85.0
240,,Paul RichardsonP. Richardson WAS,WR86,10,155,341,233.4,39.2,296.0,+56.0
241,,Indianapolis (IND)IND DST,DST17,6,159,307,241.0,24.0,224.0,-17.0
242,,Adam VinatieriA. Vinatieri IND,K13,6,198,276,239.9,13.5,205.0,-37.0
Tier 12,
243,,Tennessee (TEN)TEN DST,DST18,11,195,299,234.3,19.6,229.0,-14.0
244,,Jason WittenJ. Witten DAL,TE28,8,92,360,230.1,47.7,198.0,-46.0
245,,Cole BeasleyC. Beasley BUF,WR87,6,122,322,241.7,42.9,245.0,0.0
246,,Ryquell ArmsteadR. Armstead JAC,RB71,10,134,379,239.6,50.8,263.0,+17.0
247,,Kansas City (KC)KC DST,DST19,12,145,340,246.9,34.2,193.0,-54.0
248,,D'Onta ForemanD. Foreman IND,RB72,6,51,359,205.6,65.2,161.0,-87.0
249,,Darren WallerD. Waller OAK,TE29,6,106,375,202.8,53.3,233.0,-16.0
250,,Willie SneadW. Snead BAL,WR88,8,109,361,238.1,39.2,301.0,+51.0
251,,Kenneth DixonK. Dixon BAL,RB73,8,120,345,230.9,50.3,336.0,+85.0
252,,Ricky Seals-JonesR. Seals-Jones ARI,TE30,12,141,351,251.3,40.5,326.0,+74.0
253,,Ian ThomasI. Thomas CAR,TE31,7,133,365,247.0,43.2,261.0,+8.0
254,,Danny AmendolaD. Amendola DET,WR89,5,128,375,242.4,45.8,267.0,+13.0
255,,Eli ManningE. Manning NYG,QB30,11,186,325,258.4,29.5,249.0,-6.0
256,,Hayden HurstH. Hurst BAL,TE32,8,173,374,252.9,37.5,307.0,+51.0
257,,Jason MyersJ. Myers SEA,K14,11,200,308,253.0,18.5,223.0,-34.0
258,,Theo RiddickT. Riddick DEN,RB74,10,143,386,236.4,51.0,288.0,+30.0
259,,Doug MartinD. Martin OAK,RB75,6,104,329,249.5,39.2,323.0,+64.0
260,,Graham GanoG. Gano CAR,K15,7,201,296,252.1,15.7,250.0,-10.0
261,,Phillip DorsettP. Dorsett NE,WR90,10,175,361,257.1,40.7,291.0,+30.0
262,,Tony PollardT. Pollard DAL,RB76,8,104,353,214.9,63.9,204.0,-58.0
263,,Dwayne HaskinsD. Haskins WAS,QB31,10,172,334,260.4,40.3,216.0,-47.0
264,,Josh ReynoldsJ. Reynolds LAR,WR91,9,192,366,254.9,35.2,340.0,+76.0
265,,Carolina (CAR)CAR DST,DST20,7,200,325,258.2,22.3,244.0,-21.0
266,,Aldrick RosasA. Rosas NYG,K16,11,153,332,262.6,22.9,226.0,-40.0
267,,Darwin ThompsonD. Thompson KC,RB77,12,113,381,232.6,63.2,211.0,-56.0
268,,Keelan ColeK. Cole JAC,WR92,10,82,354,255.6,35.2,356.0,+88.0
269,,Ryan FitzpatrickR. Fitzpatrick MIA,QB32,5,163,395,267.3,43.0,265.0,-4.0
270,,Equanimeous St. BrownE. St. GB,WR93,11,159,350,252.6,35.5,344.0,+74.0
271,,Green Bay (GB)GB DST,DST21,11,145,318,266.3,35.7,232.0,-39.0
272,,Chris BoswellC. Boswell PIT,K17,7,204,305,270.7,23.8,273.0,+1.0
273,,Chris ConleyC. Conley JAC,WR94,10,157,371,261.8,38.0,384.0,+111.0
274,,Dan BaileyD. Bailey MIN,K18,12,204,305,266.6,22.7,214.0,-60.0
275,,J.J. Arcega-WhitesideJ. Arcega-Whiteside PHI,WR95,10,155,373,261.0,40.7,270.0,-5.0
276,,Atlanta (ATL)ATL DST,DST22,9,203,318,265.8,25.5,246.0,-30.0
277,,Ryan SuccopR. Succop TEN,K19,11,208,308,274.4,20.0,251.0,-26.0
278,,Rashard HigginsR. Higgins CLE,WR96,7,110,360,262.5,51.3,285.0,+7.0
279,,Miles BoykinM. Boykin BAL,WR97,8,96,345,250.8,58.6,282.0,+3.0
